id;nbrtest;postifcase;imported_case;death;recovered;date
1;Computer Specialist Rustic;Directives Borders;Licensed Awesome Cotton Towels;Small Consultant reintermediate;Books invoice;2021-02-08
2;discrete Parkway Unbranded;UAE Dirham Nevada;evolve morph Refined;Credit Card Account;Administrator solutions;2021-02-08
3;Table Berkshire Netherlands;white Assurance;Borders synergistic;Towels Tasty;Interactions convergence Cliffs;2021-02-08
4;cultivate cultivate disintermediate;Connecticut mobile withdrawal;bypass override;expedite;Games morph bandwidth;2021-02-08
5;copy killer Fantastic Cotton Towels;Generic Concrete Bike withdrawal virtual;Home Loan Account digital Global;back-end;workforce;2021-02-08
6;Coordinator SSL South Dakota;Metal;Lakes Unbranded;Neck Tools high-level;Burkina Faso Auto Loan Account Ball;2021-02-08
7;harness;Small Metal Chicken port adapter;visualize system bandwidth;Serbian Dinar;seamless Boliviano Mvdol Alley;2021-02-08
8;Falkland Islands Pound orange e-markets;USB;next generation;wireless;Rustic Wooden Keyboard;2021-02-08
9;Baht;Lari driver primary;Directives;synergies web services;back-end redundant Factors;2021-02-08
10;Supervisor Cliff;Oregon extranet;Small Soft Hat Frozen back-end;Corporate;feed virtual;2021-02-08
